FIGHTER,STANCE,EVER_CHAMPION,EVER_INTERIM,EVER_CHALLENGER,KD,TD,SUB.ATT,REV,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND,SIG,TOT.SIG,STR,TOTAL.STR,TOTAL.TD,TOTAL.HEAD,TOTAL.BODY,TOTAL.LEG,TOTAL.DISTANCE,TOTAL.CLINCH,TOTAL.GROUND,OPP_KD,OPP_TD,OPP_SUB.ATT,OPP_REV,OPP_CTRL,OPP_HEAD,OPP_BODY,OPP_LEG,OPP_DISTANCE,OPP_CLINCH,OPP_GROUND,OPP_SIG,OPP_TOT.SIG,OPP_STR,OPP_TOTAL.STR,OPP_TOTAL.TD,OPP_TOTAL.HEAD,OPP_TOTAL.BODY,OPP_TOTAL.LEG,OPP_TOTAL.DISTANCE,OPP_TOTAL.CLINCH,OPP_TOTAL.GROUND,TD_DEF,HEAD_DEF,BODY_DEF,LEG_DEF,DISTANCE_DEF,CLINCH_DEF,GROUND_DEF,SIG_DEF,STR_DEF,TD_%,HEAD_%,BODY_%,LEG_%,DISTANCE_%,CLINCH_%,GROUND_%,SIG_%,STR_%,TD_DEF_%,HEAD_DEF_%,BODY_DEF_%,LEG_DEF_%,DISTANCE_DEF_%,CLINCH_DEF_%,GROUND_DEF_%,SIG_DEF_%,STR_DEF_%
Amanda Nunes,Orthodox,Yes,No,Yes,8.0,38.0,10.0,0.0,70.03333333333333,629.0,124.0,175.0,639.0,33.0,256.0,928.0,1784.0,1263.0,2187.0,67.0,1337.0,198.0,249.0,1309.0,51.0,424.0,0.0,6.0,6.0,1.0,13.183333333333334,338.0,73.0,88.0,397.0,45.0,57.0,499.0,1226.0,826.0,1599.0,32.0,1001.0,109.0,116.0,1071.0,66.0,89.0,26.0,663.0,36.0,28.0,674.0,21.0,32.0,727.0,773.0,0.5671641791044776,0.4704562453253553,0.6262626262626263,0.15261044176706828,0.4881588999236058,0.6470588235294118,0.6037735849056604,0.5201793721973094,0.5775034293552812,0.8125,0.6623376623376623,0.3302752293577982,0.9482758620689655,0.6293183940242764,0.31818181818181823,0.3595505617977528,0.5929853181076672,0.4834271419637274
Charles Oliveira,Orthodox,Yes,No,Yes,8.0,34.0,40.0,6.0,59.983333333333334,454.0,211.0,112.0,444.0,160.0,173.0,777.0,1441.0,1129.0,1822.0,85.0,998.0,304.0,139.0,994.0,215.0,232.0,5.0,20.0,10.0,8.0,69.0,511.0,131.0,60.0,471.0,68.0,163.0,702.0,1451.0,974.0,1759.0,45.0,1168.0,199.0,84.0,1092.0,100.0,259.0,25.0,657.0,68.0,24.0,621.0,32.0,96.0,749.0,785.0,0.4,0.45490981963927857,0.694078947368421,0.2446043165467626,0.44668008048289737,0.7441860465116279,0.7456896551724138,0.5392088827203331,0.6196487376509331,0.5555555555555556,0.5625,0.3417085427135679,0.7619047619047619,0.5686813186813187,0.31999999999999995,0.3706563706563707,0.5161957270847691,0.4462762933484935
Nate Landwehr,Orthodox,No,No,No,0.0,5.0,5.0,2.0,10.716666666666667,308.0,60.0,63.0,318.0,92.0,21.0,431.0,920.0,514.0,1033.0,12.0,732.0,108.0,80.0,754.0,129.0,37.0,4.0,3.0,1.0,1.0,5.433333333333334,285.0,83.0,24.0,334.0,32.0,26.0,392.0,882.0,427.0,923.0,22.0,729.0,125.0,28.0,787.0,52.0,43.0,19.0,444.0,42.0,4.0,453.0,20.0,17.0,490.0,496.0,0.4166666666666667,0.4207650273224044,0.5555555555555556,0.0625,0.4217506631299735,0.7131782945736435,0.5675675675675675,0.46847826086956523,0.4975798644724105,0.8636363636363636,0.6090534979423868,0.33599999999999997,0.8928571428571429,0.5756035578144854,0.3846153846153846,0.39534883720930236,0.5555555555555556,0.5373781148429035
David Dvorak,Orthodox,No,No,No,0.0,3.0,1.0,2.0,7.7333333333333325,137.0,58.0,74.0,231.0,30.0,8.0,269.0,625.0,341.0,709.0,10.0,427.0,108.0,90.0,562.0,51.0,12.0,2.0,6.0,3.0,1.0,4.75,128.0,73.0,53.0,213.0,27.0,14.0,254.0,631.0,291.0,679.0,20.0,461.0,104.0,66.0,572.0,35.0,24.0,14.0,333.0,31.0,13.0,359.0,8.0,10.0,377.0,388.0,0.3,0.32084309133489464,0.5370370370370371,0.03333333333333333,0.4110320284697509,0.5882352941176471,0.6666666666666666,0.4304,0.4809590973201692,0.7,0.7223427331887202,0.29807692307692313,0.9090909090909091,0.6276223776223776,0.22857142857142854,0.41666666666666663,0.5974643423137876,0.5714285714285714
Maria Oliveira,Orthodox,No,No,No,0.0,4.0,0.0,0.0,5.716666666666666,200.0,61.0,48.0,297.0,10.0,2.0,309.0,797.0,369.0,876.0,9.0,641.0,95.0,61.0,783.0,11.0,3.0,1.0,10.0,0.0,0.0,17.5,232.0,48.0,48.0,221.0,37.0,70.0,328.0,613.0,494.0,804.0,20.0,497.0,61.0,55.0,495.0,39.0,79.0,10.0,265.0,13.0,7.0,274.0,2.0,9.0,285.0,310.0,0.4444444444444444,0.31201248049922,0.6421052631578947,0.06557377049180328,0.3793103448275862,0.9090909090909091,0.6666666666666666,0.3877038895859473,0.4212328767123288,0.5,0.5331991951710262,0.21311475409836067,0.8181818181818181,0.5535353535353535,0.05128205128205132,0.11392405063291144,0.46492659053833607,0.38557213930348255
Adam Fugitt,Southpaw,No,No,No,0.0,5.0,0.0,0.0,4.85,50.0,30.0,14.0,78.0,10.0,6.0,94.0,174.0,119.0,209.0,15.0,114.0,42.0,18.0,149.0,14.0,11.0,3.0,2.0,1.0,1.0,1.65,89.0,18.0,5.0,93.0,12.0,7.0,112.0,216.0,119.0,223.0,4.0,189.0,20.0,7.0,192.0,17.0,7.0,2.0,100.0,2.0,2.0,99.0,5.0,0.0,104.0,104.0,0.3333333333333333,0.43859649122807015,0.7142857142857143,0.2777777777777778,0.5234899328859061,0.7142857142857143,0.5454545454545454,0.5402298850574713,0.569377990430622,0.5,0.5291005291005291,0.09999999999999998,0.7142857142857143,0.515625,0.2941176470588235,0.0,0.4814814814814815,0.4663677130044843
Abubakar Nurmagomedov,Orthodox,No,No,No,0.0,4.0,0.0,0.0,20.316666666666666,90.0,20.0,23.0,119.0,13.0,1.0,133.0,250.0,246.0,378.0,18.0,205.0,22.0,23.0,233.0,15.0,2.0,0.0,1.0,2.0,0.0,1.3833333333333333,68.0,39.0,18.0,89.0,30.0,6.0,125.0,359.0,265.0,515.0,9.0,261.0,76.0,22.0,306.0,43.0,10.0,8.0,193.0,37.0,4.0,217.0,13.0,4.0,234.0,250.0,0.2222222222222222,0.43902439024390244,0.9090909090909091,0.17391304347826086,0.5107296137339056,0.8666666666666667,0.5,0.532,0.6507936507936508,0.8888888888888888,0.7394636015325671,0.48684210526315785,0.9545454545454546,0.7091503267973855,0.3023255813953488,0.4,0.6518105849582172,0.4854368932038835
Alex Caceres,Southpaw,No,No,No,5.0,13.0,16.0,12.0,44.016666666666666,882.0,328.0,165.0,1165.0,125.0,85.0,1375.0,2675.0,1656.0,2988.0,19.0,2036.0,437.0,202.0,2379.0,170.0,126.0,5.0,46.0,14.0,8.0,76.66666666666667,547.0,169.0,233.0,794.0,67.0,88.0,949.0,2634.0,1339.0,3101.0,131.0,2051.0,292.0,291.0,2391.0,99.0,144.0,85.0,1504.0,123.0,58.0,1597.0,32.0,56.0,1685.0,1762.0,0.6842105263157895,0.43320235756385067,0.7505720823798627,0.06435643564356436,0.4897015552753258,0.7352941176470589,0.6746031746031746,0.514018691588785,0.5542168674698795,0.6488549618320612,0.7333008288639689,0.4212328767123288,0.8419243986254296,0.6679213718109578,0.3232323232323232,0.38888888888888884,0.6397114654517844,0.5682038052241212
Daniel Pineda,Orthodox,No,No,No,2.0,11.0,11.0,5.0,24.2,200.0,44.0,54.0,177.0,20.0,101.0,298.0,606.0,586.0,936.0,44.0,480.0,64.0,62.0,445.0,28.0,133.0,3.0,21.0,0.0,1.0,30.150000000000002,202.0,83.0,22.0,224.0,48.0,35.0,307.0,579.0,531.0,841.0,41.0,443.0,108.0,28.0,456.0,62.0,61.0,20.0,241.0,25.0,6.0,232.0,14.0,26.0,272.0,310.0,0.25,0.4166666666666667,0.6875,0.1774193548387097,0.39775280898876403,0.7142857142857143,0.7593984962406015,0.49174917491749176,0.6260683760683761,0.4878048780487805,0.5440180586907449,0.2314814814814815,0.25,0.5087719298245614,0.22580645161290325,0.42622950819672134,0.46977547495682215,0.36860879904875143
Luan Lacerda,,No,No,No,0.0,2.0,1.0,1.0,2.0,47.0,53.0,8.0,105.0,3.0,0.0,108.0,245.0,116.0,254.0,8.0,155.0,80.0,10.0,242.0,3.0,0.0,0.0,1.0,0.0,1.0,2.2333333333333334,104.0,40.0,25.0,139.0,10.0,20.0,169.0,324.0,193.0,353.0,4.0,242.0,55.0,27.0,282.0,16.0,26.0,3.0,138.0,15.0,2.0,143.0,6.0,6.0,155.0,160.0,0.25,0.3032258064516129,0.6625,0.2,0.43388429752066116,1.0,,0.44081632653061226,0.4566929133858268,0.75,0.5702479338842975,0.2727272727272727,0.962962962962963,0.5070921985815603,0.375,0.23076923076923073,0.4783950617283951,0.45325779036827196
