FIGHTER,STANCE,EVER_CHAMPION,EVER_INTERIM,EVER_CHALLENGER,FA_FIGHTER,FA_KD,FA_TD,FA_SUB.ATT,FA_REV,FA_CTRL,FA_HEAD,FA_BODY,FA_LEG,FA_DISTANCE,FA_CLINCH,FA_GROUND,FA_SIG,FA_TOT.SIG,FA_STR,FA_TOTAL.STR,FA_TOTAL.TD,FA_TOTAL.HEAD,FA_TOTAL.BODY,FA_TOTAL.LEG,FA_TOTAL.DISTANCE,FA_TOTAL.CLINCH,FA_TOTAL.GROUND,FA_OPP_KD,FA_OPP_TD,FA_OPP_SUB.ATT,FA_OPP_REV,FA_OPP_CTRL,FA_OPP_HEAD,FA_OPP_BODY,FA_OPP_LEG,FA_OPP_DISTANCE,FA_OPP_CLINCH,FA_OPP_GROUND,FA_OPP_SIG,FA_OPP_TOT.SIG,FA_OPP_STR,FA_OPP_TOTAL.STR,FA_OPP_TOTAL.TD,FA_OPP_TOTAL.HEAD,FA_OPP_TOTAL.BODY,FA_OPP_TOTAL.LEG,FA_OPP_TOTAL.DISTANCE,FA_OPP_TOTAL.CLINCH,FA_OPP_TOTAL.GROUND,FA_TD_DEF,FA_HEAD_DEF,FA_BODY_DEF,FA_LEG_DEF,FA_DISTANCE_DEF,FA_CLINCH_DEF,FA_GROUND_DEF,FA_SIG_DEF,FA_STR_DEF,FA_TD_%,FA_HEAD_%,FA_BODY_%,FA_LEG_%,FA_DISTANCE_%,FA_CLINCH_%,FA_GROUND_%,FA_SIG_%,FA_STR_%,FA_TD_DEF_%,FA_HEAD_DEF_%,FA_BODY_DEF_%,FA_LEG_DEF_%,FA_DISTANCE_DEF_%,FA_CLINCH_DEF_%,FA_GROUND_DEF_%,FA_SIG_DEF_%,FA_STR_DEF_%
Lodune Sincaid,Orthodox,No,No,No,Lodune Sincaid,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,10.0,0.0,0.0,10.0,34.0,10.0,34.0,0.0,26.0,0.0,8.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,2.0,36.0,0.0,0.0,36.0,82.0,36.0,82.0,0.0,71.0,9.0,2.0,82.0,0.0,0.0,0.0,45.0,1.0,0.0,46.0,0.0,0.0,46.0,46.0,,0.11538461538461539,,0.0,0.29411764705882354,,,0.29411764705882354,0.29411764705882354,,0.6338028169014085,0.11111111111111116,1.0,0.5609756097560976,,,0.5609756097560976,0.5609756097560976
Bobby Southworth,Orthodox,No,No,No,Bobby Southworth,0.0,0.3333333333333333,0.0,0.0,0.45,2.0,0.3333333333333333,4.666666666666667,6.333333333333333,0.3333333333333333,0.3333333333333333,7.0,28.0,27.0,50.333333333333336,0.6666666666666666,22.0,0.6666666666666666,5.333333333333333,27.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.8833333333333333,4.0,1.6666666666666667,1.6666666666666667,7.0,0.3333333333333333,0.0,7.333333333333333,39.666666666666664,23.666666666666668,57.0,0.3333333333333333,31.666666666666668,5.666666666666667,2.3333333333333335,36.0,1.0,2.6666666666666665,0.3333333333333333,27.666666666666668,4.0,0.6666666666666666,29.0,0.6666666666666666,2.6666666666666665,32.333333333333336,33.333333333333336,0.5,0.09090909090909091,0.5,0.0625,0.2345679012345679,1.0,0.5,0.25,0.5364238410596026,1.0,0.8736842105263158,0.7058823529411764,1.0,0.8055555555555556,0.6666666666666667,1.0,0.8151260504201681,0.5847953216374269
Mike Kyle,Orthodox,No,No,No,Mike Kyle,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.7944444444444443,5.333333333333333,3.0,1.6666666666666667,2.3333333333333335,5.333333333333333,2.3333333333333335,10.0,15.333333333333334,28.333333333333332,36.666666666666664,0.6666666666666666,10.666666666666666,3.0,1.6666666666666667,6.0,6.333333333333333,3.0,0.3333333333333333,0.0,1.0,0.0,0.10555555555555556,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,2.3333333333333335,5.666666666666667,4.666666666666667,8.0,0.6666666666666666,4.333333333333333,1.0,0.3333333333333333,4.333333333333333,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.0,3.3333333333333335,0.0,0.0,3.3333333333333335,3.3333333333333335,0.5,0.5,1.0,0.19999999999999998,0.3888888888888889,0.8421052631578947,0.7777777777777778,0.6521739130434783,0.7727272727272727,1.0,0.6153846153846154,0.6666666666666667,1.0,0.7692307692307692,0.0,0.0,0.5882352941176471,0.41666666666666663
Renato Verissimo,Orthodox,No,No,No,Renato Verissimo,0.0,0.3333333333333333,0.8888888888888888,0.2222222222222222,1.2194444444444443,3.111111111111111,0.4444444444444444,0.3333333333333333,1.0,0.8888888888888888,2.0,3.888888888888889,8.944444444444445,25.111111111111114,31.833333333333332,1.7777777777777777,7.888888888888889,0.7222222222222222,0.3333333333333333,4.055555555555556,1.8888888888888886,3.0,0.0,0.7222222222222222,0.1111111111111111,0.1111111111111111,2.725,5.111111111111112,1.888888888888889,0.16666666666666666,1.1666666666666667,2.0555555555555554,3.9444444444444446,7.166666666666667,13.388888888888891,14.833333333333334,21.722222222222225,1.388888888888889,10.444444444444445,2.7777777777777772,0.16666666666666666,3.555555555555556,3.444444444444444,6.388888888888889,0.6666666666666666,5.333333333333333,0.8888888888888888,0.0,2.388888888888889,1.388888888888889,2.4444444444444446,6.222222222222222,6.888888888888889,0.1875,0.39436619718309857,0.6153846153846153,1.0,0.24657534246575338,0.4705882352941177,0.6666666666666666,0.43478260869565216,0.7888307155322863,0.4800000000000001,0.5106382978723404,0.31999999999999984,-3.333333333333334,0.671875,0.4032258064516129,0.3826086956521739,0.46473029045643155,0.3171355498721228
Tony Fryklund,Orthodox,No,No,No,Tony Fryklund,0.25,0.0,0.25,0.0,1.7458333333333331,13.5,2.0,1.5,2.0,2.75,12.25,17.0,28.5,33.75,46.5,0.5,24.25,2.0,2.25,5.25,3.75,19.5,0.5,0.0,0.5,0.0,0.5166666666666666,4.25,1.0,2.0,2.25,3.5,1.5,7.25,15.25,14.75,25.0,1.0,11.75,1.0,2.5,7.5,6.25,1.5,1.0,7.5,0.0,0.5,5.25,2.75,0.0,8.0,10.25,0.0,0.5567010309278351,1.0,0.0,0.38095238095238093,0.7333333333333333,0.6282051282051282,0.5964912280701754,0.7258064516129032,1.0,0.6382978723404256,0.0,1.0,0.7,0.43999999999999995,0.0,0.5245901639344263,0.41000000000000003
Ronald Jhun,Orthodox,No,No,No,Ronald Jhun,0.0,0.5,0.0,0.0,0.1916666666666666,0.5,1.5,2.0,2.5,1.5,0.0,4.0,8.0,10.0,14.5,0.5,2.5,2.5,3.0,6.0,2.0,0.0,0.5,0.0,1.0,0.5,2.166666666666667,4.0,1.5,0.5,3.0,0.5,2.5,6.0,12.5,19.0,29.5,0.5,10.0,2.0,0.5,7.0,1.0,4.5,0.5,6.0,0.5,0.0,4.0,0.5,2.0,6.5,10.5,1.0,0.2,0.6,0.16666666666666666,0.4166666666666667,0.75,,0.5,0.6896551724137931,1.0,0.6,0.25,1.0,0.5714285714285714,0.5,0.4444444444444444,0.52,0.35593220338983056
Vernon White,Southpaw,No,No,No,Vernon White,0.0,0.16666666666666666,0.0,0.16666666666666666,0.8222222222222223,8.166666666666666,2.833333333333333,3.0,6.833333333333333,3.8333333333333335,3.3333333333333335,14.0,32.166666666666664,24.333333333333332,43.16666666666667,1.3333333333333335,24.5,4.333333333333334,3.3333333333333335,17.5,7.833333333333333,6.833333333333333,1.0,0.8333333333333333,0.16666666666666666,0.0,1.8388888888888888,16.166666666666668,1.5,0.8333333333333333,5.333333333333333,3.833333333333333,9.333333333333334,18.5,43.0,38.0,63.33333333333333,1.3333333333333335,40.5,1.6666666666666667,0.8333333333333333,16.5,8.5,18.0,0.5,24.333333333333332,0.16666666666666666,0.0,11.166666666666666,4.666666666666667,8.666666666666666,24.5,25.333333333333332,0.12499999999999999,0.3333333333333333,0.6538461538461537,0.049999999999999996,0.3904761904761905,0.4893617021276596,0.48780487804878053,0.4352331606217617,0.5637065637065636,0.3750000000000001,0.6008230452674896,0.10000000000000009,0.0,0.6767676767676768,0.5490196078431373,0.4814814814814814,0.5697674418604651,0.3999999999999999
Kimo Leopoldo,Orthodox,No,No,No,Kimo Leopoldo,0.0,0.5,0.5,0.0,0.9833333333333334,1.0,1.5,0.0,1.5,1.0,0.0,2.5,3.0,2.5,3.5,0.5,1.5,1.5,0.0,2.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0833333333333333,1.5,4.5,0.0,0.0,5.5,0.5,6.0,7.5,8.5,10.0,0.0,3.0,4.5,0.0,0.5,6.5,0.5,0.0,1.5,0.0,0.0,0.5,1.0,0.0,1.5,1.5,1.0,0.6666666666666666,1.0,inf,0.75,1.0,,0.8333333333333334,0.7142857142857143,,0.5,0.0,,1.0,0.15384615384615385,0.0,0.19999999999999996,0.15000000000000002
Curtis Stout,Southpaw,No,No,No,Curtis Stout,0.0,0.0,0.0,0.0,0.01666666666666665,0.0,0.75,1.0,1.5,0.0,0.25,1.75,2.5,16.0,17.25,0.0,0.5,0.75,1.25,2.0,0.0,0.5,0.0,1.0,0.5,0.0,3.720833333333333,3.75,9.0,0.0,0.25,0.0,12.5,12.75,18.0,63.75,71.75,1.5,9.0,9.0,0.0,0.75,0.0,17.25,0.5,5.25,0.0,0.0,0.5,0.0,4.75,5.25,8.0,,0.0,1.0,0.0,0.75,,0.5,0.7,0.927536231884058,0.33333333333333337,0.5833333333333333,0.0,-inf,0.6666666666666667,,0.2753623188405797,0.29166666666666663,0.11149825783972123
Wesley Correira,Orthodox,No,No,No,Wesley Correira,0.25,0.0,0.0,0.0,0.05624999999999998,8.75,0.625,0.375,4.5,5.0,0.25,9.75,23.0,17.875,31.125,0.125,21.5,0.625,0.875,13.625,9.125,0.25,0.125,0.0,0.0,0.0,0.7791666666666667,22.375,1.875,2.875,16.875,10.25,0.0,27.125,45.625,32.0,50.875,1.125,39.25,2.5,3.875,29.375,16.25,0.0,1.125,16.875,0.625,1.0,12.5,6.0,0.0,18.5,18.875,0.0,0.4069767441860465,1.0,0.0,0.3302752293577982,0.547945205479452,1.0,0.42391304347826086,0.5742971887550201,1.0,0.4299363057324841,0.25,1.0,0.42553191489361697,0.36923076923076925,,0.4054794520547945,0.371007371007371
Tiki Ghosn,Orthodox,No,No,No,Tiki Ghosn,0.0,0.0,0.0,0.0,0.075,1.5,2.0,3.5,5.0,2.0,0.0,7.0,14.0,9.333333333333334,16.333333333333332,0.0,6.166666666666667,2.6666666666666665,5.166666666666667,10.333333333333334,3.6666666666666665,0.0,0.3333333333333333,1.0,0.16666666666666666,0.0,1.6888888888888889,7.166666666666667,1.1666666666666667,1.0,5.0,2.3333333333333335,2.0,9.333333333333334,19.666666666666668,32.333333333333336,44.0,1.3333333333333333,16.5,2.0,1.1666666666666667,14.333333333333334,2.6666666666666665,2.6666666666666665,0.3333333333333333,9.333333333333334,0.8333333333333334,0.16666666666666666,9.333333333333334,0.3333333333333333,0.6666666666666666,10.333333333333334,11.666666666666666,,0.24324324324324323,0.75,0.0,0.48387096774193544,0.5454545454545455,,0.5,0.5714285714285715,0.25,0.5656565656565656,0.41666666666666663,0.1428571428571429,0.6511627906976745,0.12499999999999989,0.25,0.5254237288135593,0.26515151515151514
Genki Sudo,Orthodox,No,No,No,Genki Sudo,0.0,1.0,1.8333333333333333,0.0,1.410185185185185,2.7777777777777772,2.0,1.3888888888888886,1.722222222222222,2.0,2.444444444444444,6.166666666666667,14.5,11.944444444444443,20.833333333333332,1.5,9.055555555555555,2.722222222222222,2.722222222222222,5.777777777777779,3.0,5.722222222222221,0.0,0.3333333333333333,0.0,0.0,1.6879629629629627,3.944444444444444,2.611111111111111,2.8333333333333335,2.1666666666666665,3.777777777777778,3.444444444444444,9.388888888888888,13.333333333333334,25.444444444444443,31.888888888888886,0.6666666666666666,7.388888888888888,2.9444444444444446,3.0,4.833333333333333,4.055555555555555,4.444444444444444,0.3333333333333333,3.444444444444444,0.3333333333333333,0.16666666666666666,2.6666666666666665,0.27777777777777773,1.0,3.944444444444444,6.4444444444444455,0.6666666666666666,0.30674846625766866,0.7346938775510204,0.3673469387755102,0.298076923076923,0.6666666666666666,0.4271844660194175,0.4252873563218391,0.5733333333333333,0.5,0.46616541353383456,0.1132075471698114,0.8888888888888888,0.5517241379310345,0.06849315068493134,0.22499999999999998,0.2958333333333335,0.20209059233449478
Jonathan Wiezorek,Southpaw,No,No,No,Jonathan Wiezorek,0.0,1.0,0.0,0.0,1.85,10.0,0.0,0.0,0.0,2.0,8.0,10.0,10.0,37.0,37.0,4.0,10.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.7333333333333333,11.0,7.0,2.0,4.0,15.0,1.0,20.0,23.0,42.0,48.0,0.0,14.0,7.0,2.0,6.0,16.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,6.0,0.25,1.0,,inf,,1.0,1.0,1.0,1.0,,0.2142857142857143,0.0,1.0,0.33333333333333337,0.0625,0.0,0.13043478260869568,0.125
Wade Shipp,Orthodox,No,No,No,Wade Shipp,0.0,0.0,0.0,0.0,0.7333333333333333,11.0,7.0,2.0,4.0,15.0,1.0,20.0,23.0,42.0,48.0,0.0,14.0,7.0,2.0,6.0,16.0,1.0,0.0,1.0,0.0,0.0,1.85,10.0,0.0,0.0,0.0,2.0,8.0,10.0,10.0,37.0,37.0,4.0,10.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7857142857142857,1.0,0.0,0.6666666666666666,0.9375,1.0,0.8695652173913043,0.875,0.75,0.0,,-inf,,0.0,0.0,0.0,0.0
