FIGHTER,WEIGHTCLASS
Riki Fukuda,Middleweight
Stanislav Nedkov,Middleweight
Sean Spencer,Middleweight
Rousimar Palhares,Middleweight
Patrick Cote,Middleweight
Rich Franklin,Middleweight
Tom DeBlass,Middleweight
Luiz Cane,Middleweight
Brian Stann,Middleweight
Jake Shields,Middleweight
Buddy Roberts,Middleweight
Court McGee,Middleweight
Chael Sonnen,Middleweight
Sergio Moraes,Middleweight
Delson Heleno,Middleweight
Francisco Trinaldo,Middleweight
Leonardo Mafra,Middleweight
Jason Miller,Middleweight
Jason MacDonald,Middleweight
Mike Massenzio,Middleweight
Kyle Noke,Middleweight
Steve Cantwell,Middleweight
Aaron Simpson,Middleweight
Dustin Jacoby,Middleweight
Demian Maia,Middleweight
Eric Schafer,Middleweight
Jorge Rivera,Middleweight
Anthony Johnson,Middleweight
Wanderlei Silva,Middleweight
Jorge Santiago,Middleweight
Paul Bradley,Middleweight
Yoshihiro Akiyama,Middleweight
Jesse Bongfeldt,Middleweight
James Head,Middleweight
Tim Credeur,Middleweight
Kendall Grove,Middleweight
Ryan Jensen,Middleweight
Mario Miranda,Middleweight
Rob Kimmons,Middleweight
Phil Baroni,Middleweight
Joe Doerksen,Middleweight
Rich Attonito,Middleweight
Gerald Harris,Middleweight
Maiquel Falcao,Middleweight
Tomasz Drwal,Middleweight
John Salter,Middleweight
Steve Steinbeiss,Middleweight
Goran Reljic,Middleweight
Seth Baczynski,Middleweight
James Hammortree,Middleweight
Kris McCray,Middleweight
Jamie Yager,Middleweight
Josh Bryant,Middleweight
David Loiseau,Middleweight
Jesse Forbes,Middleweight
Nate Quarry,Middleweight
Lucio Linhares,Middleweight
James Irvin,Middleweight
Jay Silva,Middleweight
Jake Rosholt,Middleweight
Denis Kang,Middleweight
Drew McFedries,Middleweight
Ricardo Almeida,Middleweight
Xavier Foupa-Pokam,Middleweight
Tim McKenzie,Middleweight
Nissen Osterneck,Middleweight
Matt Horwich,Middleweight
Joe Vedepo,Middleweight
Jason Day,Middleweight
Wilson Gouveia,Middleweight
Derek Downey,Middleweight
Jeremy Horn,Middleweight
Dean Lister,Middleweight
Nate Loughran,Middleweight
Jason Lambert,Middleweight
Martin Kampmann,Middleweight
Jesse Taylor,Middleweight
Johnny Rees,Middleweight
Cale Yarbrough,Middleweight
Amir Sadollah,Middleweight
Marvin Eastman,Middleweight
Evan Tanner,Middleweight
Dante Rivera,Middleweight
Matthew Riddle,Middleweight
Rob Yundt,Middleweight
Ivan Salaverry,Middleweight
Charles McCarthy,Middleweight
Kalib Starnes,Middleweight
Travis Lutter,Middleweight
Terry Martin,Middleweight
Jordan Radev,Middleweight
Pete Sell,Middleweight
Floyd Sword,Middleweight
Scott Smith,Middleweight
Rory Singer,Middleweight
Mike Swick,Middleweight
Chris Price,Middleweight
Logan Clark,Middleweight
Steve Byrnes,Middleweight
Gideon Ray,Middleweight
Edwin DeWees,Middleweight
Crafton Wallace,Middleweight
Josh Haynes,Middleweight
Yuki Sasaki,Middleweight
Justin Levens,Middleweight
Danny Abbadi,Middleweight
Luigi Fioravanti,Middleweight
Solomon Hutcherson,Middleweight
Ross Pointon,Middleweight
David Terrell,Middleweight
Trevor Prangley,Middleweight
Steve Vigneault,Middleweight
Dennis Hallman,Middleweight
Brock Larson,Middleweight
Jon Fitch,Middleweight
Matt Lindland,Middleweight
Shonie Carter,Middleweight
Jason Thacker,Middleweight
Diego Sanchez,Middleweight
Kenny Florian,Middleweight
Chris Sanford,Middleweight
Josh Koscheck,Middleweight
Alex Schoenauer,Middleweight
Lodune Sincaid,Middleweight
Tony Fryklund,Middleweight
Curtis Stout,Middleweight
Lee Murray,Middleweight
Chris Liguori,Middleweight
Keith Rockel,Middleweight
Falaniko Vitale,Middleweight
Mark Weir,Middleweight
Phillip Miller,Middleweight
Dave Menne,Middleweight
Eugene Jackson,Middleweight
Rodrigo Ruas,Middleweight
Andrei Semenov,Middleweight
Murilo Bustamante,Middleweight
Amar Suloev,Middleweight
Pat Miletich,Middleweight
Gil Castillo,Middleweight
Elvis Sinosic,Middleweight
Chuck Liddell,Middleweight
Jeff Monson,Middleweight
Lance Gibson,Middleweight
Yoji Anjo,Middleweight
Alex Stiebling,Middleweight
Mark Hughes,Middleweight
Alexandre Dantas,Middleweight
Yuki Kondo,Middleweight
Alex Andrade,Middleweight
Amaury Bitetti,Middleweight
David Dodd,Middleweight
Tyrone Roberts,Middleweight
