FIGHTER,WEIGHTCLASS
Jeremy Kimball,Light Heavyweight
Gokhan Saki,Light Heavyweight
Rashad Evans,Light Heavyweight
Jared Cannonier,Light Heavyweight
Jordan Johnson,Light Heavyweight
Daniel Cormier,Light Heavyweight
Francimar Barroso,Light Heavyweight
Jake Collier,Light Heavyweight
Marcel Fortuna,Light Heavyweight
Henrique da Silva,Light Heavyweight
Yushin Okami,Light Heavyweight
Abdul-Kerim Edilov,Light Heavyweight
Bojan Mihajlovic,Light Heavyweight
James Bochnovic,Light Heavyweight
Trevin Giles,Light Heavyweight
CB Dollaway,Light Heavyweight
Nick Roehrick,Light Heavyweight
Joachim Christensen,Light Heavyweight
Josh Stansbury,Light Heavyweight
Marcos Rogerio de Lima,Light Heavyweight
Anthony Johnson,Light Heavyweight
Daniel Jolly,Light Heavyweight
Sean O'Connell,Light Heavyweight
Ryan Bader,Light Heavyweight
Jonathan Wilson,Light Heavyweight
Anderson Silva,Light Heavyweight
Andrew Sanchez,Light Heavyweight
Cory Hendricks,Light Heavyweight
Steve Bosse,Light Heavyweight
Clint Hester,Light Heavyweight
Igor Pokrajac,Light Heavyweight
James Te Huna,Light Heavyweight
Tom Lawlor,Light Heavyweight
Alex Nicholson,Light Heavyweight
Rafael Cavalcante,Light Heavyweight
Elvis Mutapcic,Light Heavyweight
Tim Boetsch,Light Heavyweight
Anthony Perosh,Light Heavyweight
Fabio Maldonado,Light Heavyweight
Chris Dempsey,Light Heavyweight
Hans Stringer,Light Heavyweight
Ryan Jimmo,Light Heavyweight
Stanislav Nedkov,Light Heavyweight
Phil Davis,Light Heavyweight
Matt Van Buren,Light Heavyweight
Antonio Carlos Junior,Light Heavyweight
Justin Jones,Light Heavyweight
Guto Inocente,Light Heavyweight
Kyle Kingsbury,Light Heavyweight
Cody Donovan,Light Heavyweight
Daniel Spohn,Light Heavyweight
Patrick Walsh,Light Heavyweight
Keith Berish,Light Heavyweight
Robert Drysdale,Light Heavyweight
Roger Narvaez,Light Heavyweight
Dan Henderson,Light Heavyweight
Cyrille Diabate,Light Heavyweight
