FIGHTER,WEIGHTCLASS
Richardson Moreira,Heavyweight
Fabio Maldonado,Heavyweight
Antonio Carlos Junior,Heavyweight
Vitor Miranda,Heavyweight
Nikita Krylov,Heavyweight
Pat Barry,Heavyweight
Nandor Guelmino,Heavyweight
Brandon Vera,Heavyweight
Dave Herman,Heavyweight
Cheick Kongo,Heavyweight
Philip De Fries,Heavyweight
Lavar Johnson,Heavyweight
Mike Russow,Heavyweight
Shane del Rosario,Heavyweight
Oli Thompson,Heavyweight
Chad Griggs,Heavyweight
Joey Beltran,Heavyweight
Jon Olav Einemo,Heavyweight
Christian Morecraft,Heavyweight
Ednaldo Oliveira,Heavyweight
Rob Broughton,Heavyweight
Aaron Rosa,Heavyweight
Shane Carwin,Heavyweight
Jon Madsen,Heavyweight
Sean McCorkle,Heavyweight
Chris Tuchscherer,Heavyweight
Tim Hague,Heavyweight
Gilbert Yvel,Heavyweight
Vinicius Queiroz,Heavyweight
James Toney,Heavyweight
Randy Couture,Heavyweight
Karlos Vemola,Heavyweight
James McSweeney,Heavyweight
Kevin Ferguson,Heavyweight
Mostapha Al-Turk,Heavyweight
Chase Gormley,Heavyweight
Paul Buentello,Heavyweight
Anthony Perosh,Heavyweight
Rolles Gracie,Heavyweight
Darrill Schoonover,Heavyweight
Justin Wren,Heavyweight
Marcus Jones,Heavyweight
Antoni Hardonk,Heavyweight
Justin McCully,Heavyweight
Denis Stojnic,Heavyweight
Mike Ciesnolevicz,Heavyweight
Neil Grove,Heavyweight
Mike Wessel,Heavyweight
Dan Evensen,Heavyweight
Eddie Sanchez,Heavyweight
Josh Hendricks,Heavyweight
Neil Wain,Heavyweight
Heath Herring,Heavyweight
Jake O'Brien,Heavyweight
Christian Wellisch,Heavyweight
Brad Morris,Heavyweight
Tim Sylvia,Heavyweight
Colin Robinson,Heavyweight
Scott Junk,Heavyweight
Assuerio Silva,Heavyweight
Brad Imes,Heavyweight
Marcio Cruz,Heavyweight
Carmelo Marrero,Heavyweight
Sherman Pendergarst,Heavyweight
Josh Shockman,Heavyweight
Jeff Monson,Heavyweight
Mario Neto,Heavyweight
Kristof Midoux,Heavyweight
Gilbert Aldana,Heavyweight
Dan Christison,Heavyweight
Fabiano Scherner,Heavyweight
Icho Larenas,Heavyweight
Tom Murphy,Heavyweight
Justin Eilers,Heavyweight
Branden Lee Hinkle,Heavyweight
Kevin Jordan,Heavyweight
Keith Jardine,Heavyweight
Kerry Schall,Heavyweight
Rashad Evans,Heavyweight
Sean Gannon,Heavyweight
Keigo Kunihara,Heavyweight
Tra Telligman,Heavyweight
John Marsh,Heavyweight
Mike van Arsdale,Heavyweight
James Irvin,Heavyweight
Mike Kyle,Heavyweight
Ken Shamrock,Heavyweight
Kimo Leopoldo,Heavyweight
Wesley Correira,Heavyweight
Jonathan Wiezorek,Heavyweight
Wade Shipp,Heavyweight
Wes Sims,Heavyweight
Pedro Rizzo,Heavyweight
Ricco Rodriguez,Heavyweight
David Abbott,Heavyweight
Vladimir Matyushenko,Heavyweight
Gan McGee,Heavyweight
Ian Freeman,Heavyweight
Vernon White,Heavyweight
Sean Alvarez,Heavyweight
Alexandre Dantas,Heavyweight
Travis Wiuff,Heavyweight
Tsuyoshi Kohsaka,Heavyweight
Pete Williams,Heavyweight
Roberto Traven,Heavyweight
Bobby Hoffman,Heavyweight
Semmy Schilt,Heavyweight
Mark Robinson,Heavyweight
Aaron Brink,Heavyweight
Kevin Randleman,Heavyweight
Maurice Smith,Heavyweight
Renato Sobral,Heavyweight
Tedd Williams,Heavyweight
Tim Lajcik,Heavyweight
Dan Severn,Heavyweight
Nate Schroeder,Heavyweight
