FIGHTER,WEIGHTCLASS
Abdul Razak Alhassan,Welterweight
Cole Williams,Welterweight
James Krause,Welterweight
Diego Sanchez,Welterweight
Anthony Ivy,Welterweight
Zelim Imadaev,Welterweight
Carlton Minus,Welterweight
Laureano Staropoli,Welterweight
Peter Sobotta,Welterweight
Jesse Ronson,Welterweight
Lyman Good,Welterweight
Anthony Rocco Martin,Welterweight
Aleksei Kunchenko,Welterweight
Ismail Naurdiev,Welterweight
Callan Potter,Welterweight
Emil Meek,Welterweight
Conor McGregor,Welterweight
Ben Saunders,Welterweight
Thiago Alves,Welterweight
Sergio Moraes,Welterweight
Rustam Khabilov,Welterweight
Chance Rencountre,Welterweight
Ben Askren,Welterweight
Hector Aldana,Welterweight
James Vick,Welterweight
Maki Pitolo,Welterweight
Rostem Akman,Welterweight
Luke Jumeau,Welterweight
Siyar Bahadurzada,Welterweight
Tristan Connelly,Welterweight
Nordine Taleb,Welterweight
Derrick Krantz,Welterweight
Salim Touahri,Welterweight
Erik Koch,Welterweight
Kyle Stewart,Welterweight
Kyle Prepolec,Welterweight
Keita Nakamura,Welterweight
Sultan Aliev,Welterweight
Curtis Millender,Welterweight
Darren Till,Welterweight
Zak Ottow,Welterweight
Carlo Pedersoli Jr.,Welterweight
Chad Laprise,Welterweight
Yushin Okami,Welterweight
Ricky Rainey,Welterweight
Bartosz Fabinski,Welterweight
Alex Garcia,Welterweight
Sean Strickland,Welterweight
Ryan LaFlare,Welterweight
Jalin Turner,Welterweight
Luigi Vendramini,Welterweight
Craig White,Welterweight
Frank Camacho,Welterweight
Jake Ellenberger,Welterweight
George Sullivan,Welterweight
Jordan Mein,Welterweight
Sage Northcutt,Welterweight
Paul Felder,Welterweight
Daichi Abe,Welterweight
Shinsho Anzai,Welterweight
CM Punk,Welterweight
Brad Scott,Welterweight
Zak Cummings,Welterweight
Alberto Mina,Welterweight
Luan Chagas,Welterweight
Oliver Enkamp,Welterweight
Mike Pyle,Welterweight
Yancy Medeiros,Welterweight
Brian Camozzi,Welterweight
Joshua Burkman,Welterweight
Drew Dober,Welterweight
Sabah Homasi,Welterweight
Galore Bofando,Welterweight
Erick Silva,Welterweight
Bobby Nash,Welterweight
Bojan Velickovic,Welterweight
Hyun Gyu Lim,Welterweight
Alex Reyes,Welterweight
Charlie Ward,Welterweight
Jesse Taylor,Welterweight
Tom Gallicchio,Welterweight
Dong Hyun Kim,Welterweight
Tarec Saffiedine,Welterweight
Kiichi Kunimoto,Welterweight
Dominique Steele,Welterweight
Jim Wallhead,Welterweight
Omari Akhmedov,Welterweight
Jessin Ayari,Welterweight
Nicholas Musoke,Welterweight
Joe Proctor,Welterweight
Nathan Coy,Welterweight
Patrick Cote,Welterweight
Davi Ramos,Welterweight
Roan Carneiro,Welterweight
Brandon Thatch,Welterweight
Johny Hendricks,Welterweight
James Moontasri,Welterweight
Kyle Noke,Welterweight
Jonathan Meunier,Welterweight
Richard Walsh,Welterweight
Alexander Yakovlev,Welterweight
Erick Montano,Welterweight
Albert Tumenov,Welterweight
Hector Urbina,Welterweight
Augusto Montano,Welterweight
Kenny Robertson,Welterweight
Sean Spencer,Welterweight
Lorenz Larkin,Welterweight
Rick Story,Welterweight
Michael Graves,Welterweight
Ross Pearson,Welterweight
Anton Zafir,Welterweight
Alvaro Herrera Mendoza,Welterweight
Rory MacDonald,Welterweight
Tom Breese,Welterweight
Dominic Waters,Welterweight
Brendan O'Reilly,Welterweight
Hector Lombard,Welterweight
Viscardi Andrade,Welterweight
Jonavin Webb,Welterweight
Matt Dwyer,Welterweight
Edgar Garcia,Welterweight
Sheldon Westcott,Welterweight
Hayder Hassan,Welterweight
Marcio Alexandre Junior,Welterweight
Mike Pierce,Welterweight
Andreas Stahl,Welterweight
John Howard,Welterweight
Benson Henderson,Welterweight
Dong Hyun Ma,Welterweight
Yoshihiro Akiyama,Welterweight
